J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
36,0.0101902,0.0101924,-6.83E-07,-9.87E-07,3.92E-09,-1.59E-08
37,0.010187,0.010192,-3.58E-07,-9.87E-07,8.28E-12,-3.35E-08
38,0.0101852,0.0101918,-1.82E-07,-1.00E-06,-1.38E-08,-5.71E-08
39,0.0101842,0.0101916,-1.82E-07,-1.04E-06,-3.93E-08,-8.44E-08
40,0.0101851,0.0101913,-3.00E-07,-1.10E-06,-5.70E-08,-1.13E-07
41,0.0101872,0.0101908,-5.06E-07,-1.18E-06,-7.86E-08,-1.40E-07
42,0.0101898,0.01019,-8.59E-07,-1.29E-06,-1.14E-07,-1.67E-07
43,0.0101933,0.0101888,-1.18E-06,-1.45E-06,-1.65E-07,-1.92E-07
44,0.0101967,0.0101873,-1.51E-06,-1.69E-06,-2.38E-07,-2.13E-07
45,0.010198,0.0101854,-1.92E-06,-2.01E-06,-3.16E-07,-2.31E-07
46,0.0101962,0.010183,-2.33E-06,-2.37E-06,-3.65E-07,-2.44E-07
47,0.010193,0.0101805,-2.57E-06,-2.75E-06,-3.79E-07,-2.51E-07
48,0.0101885,0.0101777,-2.75E-06,-3.14E-06,-3.83E-07,-2.55E-07
49,0.0101823,0.0101747,-3.01E-06,-3.51E-06,-3.77E-07,-2.58E-07
50,0.0101751,0.0101712,-3.48E-06,-3.87E-06,-3.52E-07,-2.59E-07
51,0.0101676,0.010167,-4.25E-06,-4.18E-06,-3.18E-07,-2.54E-07
52,0.0101582,0.0101619,-5.10E-06,-4.46E-06,-2.71E-07,-2.41E-07
53,0.0101502,0.0101562,-5.66E-06,-4.66E-06,-2.04E-07,-2.18E-07
54,0.0101457,0.0101503,-5.87E-06,-4.81E-06,-1.47E-07,-1.89E-07
55,0.0101439,0.0101443,-6.05E-06,-4.93E-06,-1.22E-07,-1.58E-07
56,0.010142,0.0101381,-6.16E-06,-5.05E-06,-1.20E-07,-1.26E-07
57,0.0101376,0.010132,-6.14E-06,-5.17E-06,-1.22E-07,-9.35E-08
58,0.0101295,0.010126,-5.96E-06,-5.27E-06,-1.00E-07,-6.09E-08
59,0.0101202,0.0101205,-5.58E-06,-5.31E-06,-4.13E-08,-3.00E-08
60,0.0101131,0.0101155,-4.99E-06,-5.28E-06,3.14E-08,-3.40E-09
61,0.0101081,0.0101109,-4.54E-06,-5.21E-06,7.27E-08,1.64E-08
62,0.0101023,0.0101065,-4.40E-06,-5.13E-06,8.06E-08,3.07E-08
63,0.0100961,0.010102,-4.54E-06,-5.03E-06,9.43E-08,4.34E-08
64,0.0100902,0.0100971,-4.84E-06,-4.92E-06,1.16E-07,5.78E-08
65,0.0100858,0.0100922,-4.99E-06,-4.78E-06,1.38E-07,7.52E-08
66,0.0100839,0.0100873,-4.87E-06,-4.63E-06,1.45E-07,9.31E-08
67,0.0100834,0.0100827,-4.63E-06,-4.51E-06,1.28E-07,1.08E-07
68,0.010082,0.0100781,-4.57E-06,-4.41E-06,9.23E-08,1.18E-07
69,0.0100798,0.0100734,-4.66E-06,-4.35E-06,6.68E-08,1.27E-07
70,0.0100757,0.0100688,-4.63E-06,-4.28E-06,6.88E-08,1.37E-07
71,0.0100695,0.0100644,-4.43E-06,-4.18E-06,9.63E-08,1.49E-07
72,0.0100628,0.0100603,-4.07E-06,-4.04E-06,1.40E-07,1.58E-07
73,0.0100565,0.0100565,-3.78E-06,-3.87E-06,1.69E-07,1.65E-07
74,0.0100507,0.0100529,-3.66E-06,-3.69E-06,1.81E-07,1.70E-07
75,0.0100445,0.0100493,-3.60E-06,-3.51E-06,1.83E-07,1.76E-07
76,0.0100382,0.0100457,-3.54E-06,-3.31E-06,2.02E-07,1.84E-07
77,0.0100328,0.0100424,-3.36E-06,-3.07E-06,2.40E-07,1.93E-07
78,0.0100297,0.0100393,-3.10E-06,-2.80E-06,2.63E-07,2.01E-07
79,0.0100292,0.0100365,-2.75E-06,-2.54E-06,2.63E-07,2.07E-07
80,0.0100291,0.0100341,-2.45E-06,-2.30E-06,2.40E-07,2.10E-07
81,0.010029,0.0100319,-2.16E-06,-2.08E-06,2.20E-07,2.11E-07
82,0.0100294,0.01003,-1.89E-06,-1.87E-06,2.12E-07,2.10E-07
83,0.0100289,0.0100285,-1.54E-06,-1.66E-06,2.08E-07,2.08E-07
84,0.0100293,0.0100274,-1.07E-06,-1.45E-06,2.08E-07,2.03E-07
85,0.0100292,0.0100267,-6.83E-07,-1.26E-06,1.96E-07,1.91E-07
86,0.0100283,0.0100262,-4.76E-07,-1.07E-06,1.87E-07,1.73E-07
87,0.010026,0.0100258,-4.76E-07,-8.93E-07,1.77E-07,1.52E-07
88,0.0100242,0.0100253,-4.76E-07,-7.16E-07,1.77E-07,1.29E-07
89,0.0100223,0.0100248,-4.76E-07,-5.45E-07,1.71E-07,1.05E-07
90,0.0100214,0.0100243,-4.76E-07,-3.90E-07,1.55E-07,7.75E-08
91,0.0100222,0.0100239,-4.17E-07,-2.68E-07,1.22E-07,4.78E-08
92,0.0100226,0.0100235,-4.17E-07,-2.05E-07,6.29E-08,1.56E-08
