J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
185,0.00803715,0.00805714,-9.83E-05,-9.89E-05,3.66E-07,1.76E-07
186,0.00793808,0.00795895,-9.82E-05,-9.86E-05,3.33E-07,-1.11E-07
187,0.00785801,0.00786116,-9.78E-05,-9.84E-05,1.26E-07,-4.53E-07
188,0.00777883,0.00776361,-9.76E-05,-9.88E-05,-3.55E-07,-8.45E-07
189,0.00768197,0.00766615,-9.75E-05,-9.96E-05,-7.53E-07,-1.25E-06
190,0.00758157,0.00756791,-9.82E-05,-0.000100492,-9.39E-07,-1.62E-06
191,0.00747896,0.00746781,-0.000100105,-0.000101644,-1.15E-06,-1.91E-06
192,0.00737458,0.00736471,-0.000103101,-0.000102943,-1.30E-06,-2.06E-06
193,0.00726622,0.00725945,-0.000105263,-0.000104253,-1.31E-06,-1.98E-06
194,0.007153,0.00715271,-0.000106736,-0.000105394,-1.14E-06,-1.71E-06
195,0.00703713,0.00704416,-0.000108554,-0.000106223,-8.30E-07,-1.28E-06
196,0.0069301,0.00693467,-0.000109487,-0.000106687,-4.64E-07,-6.52E-07
197,0.00683147,0.00682533,-0.00010934,-0.000106736,-4.92E-08,6.96E-08
198,0.00672134,0.00671761,-0.000107719,-0.000106409,3.27E-07,7.75E-07
199,0.00660459,0.00661191,-0.000105705,-0.000105596,8.13E-07,1.36E-06
200,0.00649358,0.00650763,-0.00010428,-0.000104253,1.34E-06,1.84E-06
201,0.00639053,0.00640408,-0.000103543,-0.000102665,1.59E-06,2.22E-06
202,0.00629676,0.00630177,-0.000102316,-0.000101153,1.51E-06,2.50E-06
203,0.00620166,0.00620235,-9.94E-05,-9.99E-05,1.21E-06,2.60E-06
204,0.00609861,0.00610588,-9.65E-05,-9.89E-05,1.06E-06,2.39E-06
205,0.00599821,0.00601069,-9.52E-05,-9.78E-05,1.08E-06,1.89E-06
206,0.00591063,0.00591495,-9.57E-05,-9.67E-05,1.08E-06,1.25E-06
207,0.00582659,0.00581809,-9.69E-05,-9.60E-05,7.26E-07,6.29E-07
208,0.00573636,0.00572197,-9.61E-05,-9.60E-05,-3.28E-08,7.92E-08
209,0.00563684,0.00562741,-9.46E-05,-9.67E-05,-6.71E-07,-5.36E-07
210,0.00552893,0.00553359,-9.38E-05,-9.77E-05,-9.72E-07,-1.27E-06
211,0.00542499,0.00543781,-9.58E-05,-9.86E-05,-9.66E-07,-2.04E-06
212,0.00533653,0.0053381,-9.97E-05,-9.96E-05,-9.93E-07,-2.63E-06
213,0.00524762,0.00523559,-0.000102512,-0.000101027,-1.40E-06,-2.85E-06
214,0.00515386,0.00513165,-0.000103936,-0.000102867,-1.84E-06,-2.79E-06
215,0.00504859,0.00502722,-0.000104428,-0.000104875,-2.01E-06,-2.60E-06
216,0.00492918,0.00492142,-0.000105803,-0.000106507,-1.63E-06,-2.40E-06
217,0.00481375,0.00481272,-0.000108701,-0.000107413,-9.06E-07,-2.14E-06
218,0.00470142,0.00470161,-0.000111108,-0.00010785,-4.37E-07,-1.71E-06
219,0.00458908,0.00458972,-0.000111894,-0.000108063,-2.13E-07,-1.13E-06
220,0.00447276,0.00447925,-0.00011047,-0.000108226,-1.64E-07,-5.12E-07
221,0.00435822,0.00437138,-0.000107866,-0.000108205,2.18E-08,-7.37E-08
222,0.00424765,0.00426494,-0.000106442,-0.000107883,3.22E-07,8.60E-08
223,0.00414681,0.00415909,-0.000105852,-0.000107381,5.02E-07,8.19E-08
224,0.00405436,0.00405319,-0.000105902,-0.000106922,4.58E-07,9.55E-09
225,0.00395839,0.00394758,-0.000105607,-0.000106802,1.20E-07,-5.32E-08
